Product_ID,Warehouse,Opening_Stock,Stock_Received,Quantity_Sold,Current_Stock,Reorder_Level,Safety_Stock,Stock_Status,Expiry_Month,Calculated_Stock
PROD001,WH-North,280,9813,9269,824,452,180,In Stock,2027-12,824
PROD002,WH-South,101,8833,8619,315,482,192,Reorder,2027-12,315
PROD003,WH-West,437,7455,7251,641,350,140,In Stock,2027-12,641
PROD004,WH-South,281,10217,9645,853,262,104,In Stock,2027-12,853
PROD005,WH-East,289,8276,7630,935,405,162,In Stock,2027-06,935
PROD006,WH-East,271,10222,9901,592,314,125,In Stock,2028-04,592
PROD007,WH-North,239,7181,6864,556,373,149,In Stock,2026-08,556
PROD008,WH-South,161,8927,8585,503,342,136,In Stock,2027-12,503
PROD009,WH-South,127,7836,7609,354,417,166,Reorder,2027-06,354
PROD010,WH-South,320,8654,8226,748,438,175,In Stock,2026-12,748
PROD011,WH-North,518,7969,6882,1605,378,151,In Stock,2027-03,1605
PROD012,WH-West,927,8178,7778,1327,232,92,In Stock,2026-12,1327
PROD013,WH-West,592,8306,7212,1686,493,197,In Stock,2027-12,1686
PROD014,WH-West,643,8460,8155,948,491,196,In Stock,2027-06,948
PROD015,WH-East,373,8205,7575,1003,220,88,In Stock,2027-12,1003
PROD016,WH-East,536,7792,7228,1100,499,199,In Stock,2026-08,1100
PROD017,WH-South,89,7979,7861,207,342,136,Reorder,2027-06,207
PROD018,WH-West,177,7717,7487,407,397,158,In Stock,2026-12,407
PROD019,WH-North,742,8454,7855,1341,373,149,In Stock,2026-12,1341
PROD020,WH-West,857,8483,7357,1983,487,194,In Stock,2027-06,1983
PROD021,WH-North,367,9838,9381,824,366,146,In Stock,2026-08,824
PROD022,WH-West,424,7511,6712,1223,285,114,In Stock,2026-12,1223
PROD023,WH-North,283,8223,7664,842,281,112,In Stock,2027-03,842
PROD024,WH-West,550,9390,9072,868,367,146,In Stock,2027-06,868
PROD025,WH-South,869,7826,6871,1824,487,194,In Stock,2027-03,1824
PROD026,WH-East,424,9102,8632,894,475,190,In Stock,2027-06,894
PROD027,WH-South,466,8324,7394,1396,402,160,In Stock,2026-08,1396
PROD028,WH-South,161,8156,7854,463,278,111,In Stock,2027-12,463
PROD029,WH-North,141,7716,7590,267,222,88,In Stock,2028-04,267
PROD030,WH-East,298,7006,6762,542,458,183,In Stock,2028-04,542
PROD031,WH-West,265,8128,8008,385,297,118,In Stock,2027-12,385
PROD032,WH-East,1103,8777,8168,1712,368,147,In Stock,2026-12,1712
PROD033,WH-West,460,8719,7738,1441,202,80,In Stock,2027-06,1441
PROD034,WH-East,1184,6791,6038,1937,496,198,In Stock,2028-04,1937
PROD035,WH-West,561,10012,8781,1792,203,81,In Stock,2028-04,1792
PROD036,WH-West,749,6617,5962,1404,454,181,In Stock,2026-08,1404
PROD037,WH-South,591,8596,7738,1449,307,122,In Stock,2028-04,1449
PROD038,WH-East,772,9823,9160,1435,410,164,In Stock,2027-03,1435
PROD039,WH-North,1287,7754,7104,1937,267,106,In Stock,2028-04,1937
PROD040,WH-East,459,7790,7210,1039,459,183,In Stock,2027-12,1039
PROD041,WH-West,344,8966,8770,540,461,184,In Stock,2026-12,540
PROD042,WH-North,933,6924,6005,1852,494,197,In Stock,2026-08,1852
PROD043,WH-North,1157,9013,8437,1733,239,95,In Stock,2027-12,1733
PROD044,WH-South,646,7701,7260,1087,466,186,In Stock,2028-04,1087
PROD045,WH-East,656,8353,7954,1055,483,193,In Stock,2027-06,1055
PROD046,WH-West,358,7437,6928,867,262,104,In Stock,2027-12,867
PROD047,WH-South,990,8660,8196,1454,346,138,In Stock,2026-12,1454
PROD048,WH-South,118,8218,8090,246,470,188,Reorder,2027-06,246
PROD049,WH-West,116,6685,6555,246,486,194,Reorder,2027-06,246
PROD050,WH-West,415,7398,6682,1131,287,114,In Stock,2027-12,1131
PROD051,WH-South,396,9195,8833,758,357,142,In Stock,2028-04,758
PROD052,WH-North,577,8079,7048,1608,480,192,In Stock,2026-08,1608
PROD053,WH-South,323,8002,7394,931,492,196,In Stock,2028-04,931
PROD054,WH-West,211,8379,8160,430,423,169,In Stock,2027-12,430
PROD055,WH-North,667,9171,8731,1107,495,198,In Stock,2027-06,1107
PROD056,WH-North,151,8310,8010,451,409,163,In Stock,2026-12,451
PROD057,WH-West,403,7654,7242,815,274,109,In Stock,2027-06,815
PROD058,WH-South,645,9004,8638,1011,413,165,In Stock,2026-12,1011
PROD059,WH-West,901,8207,7796,1312,270,108,In Stock,2027-06,1312
PROD060,WH-East,311,8979,8458,832,360,144,In Stock,2027-03,832
PROD061,WH-North,550,8060,7753,857,386,154,In Stock,2026-12,857
PROD062,WH-North,275,6689,6443,521,412,164,In Stock,2026-12,521
PROD063,WH-North,1321,8445,7876,1890,429,171,In Stock,2026-08,1890
PROD064,WH-South,320,7273,6933,660,427,170,In Stock,2027-12,660
PROD065,WH-West,151,7671,7335,487,323,129,In Stock,2026-08,487
PROD066,WH-East,819,9333,8185,1967,497,198,In Stock,2026-12,1967
PROD067,WH-West,158,7581,7504,235,353,141,Reorder,2027-03,235
PROD068,WH-South,274,8199,7957,516,268,107,In Stock,2026-08,516
PROD069,WH-South,92,8065,8023,134,325,130,Reorder,2027-03,134
PROD070,WH-East,610,7755,7043,1322,257,102,In Stock,2027-06,1322
PROD071,WH-North,135,7281,7095,321,284,113,In Stock,2027-06,321
PROD072,WH-East,545,7674,7079,1140,210,84,In Stock,2027-06,1140
PROD073,WH-North,439,10094,9114,1419,351,140,In Stock,2027-06,1419
